Year,Population requiring PC for LF,Mapping status,Type of MDA,Current status of MDA,Number of IUs covered,Geographical coverage (%),Total population of IUs,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode
2000,1600000.0,Completed,IVM + ALB,Ongoing,1,14.299999999999999,77000,51722,67.17142857142858,3.232625,TGO
2000,4000000.0,Completed,IVM + ALB,Ongoing,No data,No data,480000,114947,23.94729166666667,2.873675,GHA
2000,80000000.0,In progress,IVM + ALB,Ongoing,4,No data,414238,159698,38.55223325720962,0.19962249999999998,NGA
2000,11000000.0,In progress,IVM + ALB,Ongoing,No data,No data,37240,37240,100,0.3385454545454546,TZA
2001,6015806.0,Completed,IVM + ALB,Ongoing,4,8.200000000000001,574834,393677,68.48533663631588,6.544044139721262,GHA
2001,80000000.0,In progress,IVM + ALB,Ongoing,13,No data,2090219,675701,32.32680403345295,0.8446262499999999,NGA
2001,456250.0,Completed,DEC + ALB,Ongoing,2,66.60000000000001,62239,53308,85.65047638940214,11.683945205479453,COM
2001,1100816.0,Completed,IVM + ALB,Ongoing,3,42.9,458337,342398,74.7044205464538,31.104017383468264,TGO
2001,12000000.0,Completed,IVM + ALB,Ongoing,4,7.3,558552,431399,77.23524398802618,3.5949916666666666,BFA
2001,34000000.0,In progress,IVM + ALB,Ongoing,15,13,1616633,955403,59.098323490860324,2.8100088235294116,TZA
2002,456250.0,Completed,DEC + ALB,Ongoing,2,66.60000000000001,431300,245224,56.85694412242059,53.747726027397256,COM
2002,1123757.0,Completed,IVM + ALB,Ongoing,6,85.7,709455,556974,78.50730490305939,49.5635622292008,TGO
2002,6015806.0,Completed,IVM + ALB,Ongoing,15,24.6,1650000,1223122,74.12860606060606,20.331805912624176,GHA
2002,12429409.0,Completed,IVM + ALB,Ongoing,2,6.5,965323,733375,75.97198036304947,5.900320763440965,UGA
2002,2987266.0,In progress,DEC + ALB,Ongoing,1,14.299999999999999,592273,480900,81.19566483699239,16.09833205345624,KEN
2002,34000000.0,In progress,IVM + ALB,Ongoing,19,16.5,3002302,2078204,69.22035158355155,6.112364705882353,TZA
2002,12793884.0,Completed,IVM + ALB,Ongoing,14,25.4,2612524,1786125,68.36779298486827,13.960772193963928,BFA
2002,80000000.0,In progress,IVM + ALB,Ongoing,26,No data,4036088,2168355,53.72417548874058,2.71044375,NGA
2002,3430000.0,Completed,IVM + ALB,Ongoing,3,6,289094,224971,77.81932520218338,6.558921282798834,BEN
2003,13116285.0,Completed,IVM + ALB,Ongoing,31,56.39999999999999,7074048,5504199,77.80833548203235,41.96461879259257,BFA
2003,3430000.0,Completed,IVM + ALB,Ongoing,15,30,839321,678638,80.85559636896969,19.78536443148688,BEN
2003,1060569.0,Completed,IVM + ALB,Ongoing,7,100,1060569,855132,80.62954885537857,80.62954885537857,TGO
2003,80000000.0,In progress,IVM + ALB,Ongoing,30,No data,4331401,3112889,71.86794757631537,3.89111125,NGA
2003,2987266.0,In progress,DEC + ALB,Ongoing,3,42.9,1450991,1153468,79.49518639329948,38.61283193394897,KEN
2003,6000000.0,Completed,IVM + ALB,Ongoing,30,49.2,3777488,2681404,70.98378605041233,44.69006666666667,GHA
2003,545537.0,Completed,DEC + ALB,Ongoing,3,100,545537,374556,68.65822116556714,68.65822116556714,COM
2003,34000000.0,In progress,IVM + ALB,Ongoing,24,20.9,3863265,2335561,60.45562497007065,6.86929705882353,TZA
2003,12429409.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,UGA
2004,13194581.0,Completed,IVM + ALB,Ongoing,37,67.30000000000001,8401168,6239697,74.27177982870953,47.28984573288079,BFA
2004,545537.0,Completed,DEC + ALB,Ongoing,3,100,511395,397314,77.6921948787141,72.82989054821213,COM
2004,1063185.0,Completed,IVM + ALB,Ongoing,7,100,1064633,889393,83.5398677290672,83.65364447391565,TGO
2004,2987266.0,In progress,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2004,4362588.0,Completed,IVM + ALB,Ongoing,23,46,1469789,1127825,76.73380328741064,25.852200574521362,BEN
2004,80000000.0,In progress,IVM + ALB,Ongoing,30,No data,4196224,3236206,77.12186003416404,4.0452575,NGA
2004,12429409.0,Completed,IVM + ALB,Ongoing,5,16.1,2167699,1158772,53.456314737424336,9.32282460091224,UGA
2004,10205132.0,Completed,IVM + ALB,Ongoing,39,64,5378143,3971869,73.85205265088712,38.920309898980236,GHA
2004,34000000.0,In progress,IVM + ALB,Ongoing,29,25.2,6469772,4225469,65.31094140566313,12.42785,TZA
2005,572171.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2005,12429409.0,Completed,IVM + ALB,Ongoing,10,32.6,4914819,3483384,70.8751227664742,28.025338936066873,UGA
2005,13590357.0,Completed,IVM + ALB,Ongoing,55,100,13590357,10493483,77.21271045344872,77.21271045344872,BFA
2005,2987266.0,Completed,DEC + ALB,Ongoing,3,42.9,1677824,1213229,72.30967014418675,40.61335682861854,KEN
2005,1064633.0,Completed,IVM + ALB,Ongoing,7,100,1093470,926769,84.75486295920327,87.05056108536932,TGO
2005,15821728.0,Completed,DEC + ALB,Ongoing,3,0.4,719642,585550,81.36684629301791,3.700923186139972,MDG
2005,10205132.0,Completed,IVM + ALB,Ongoing,60,98.4,6900365,5135002,74.41638232180472,50.317840082813234,GHA
2005,11408323.0,Completed,IVM + ALB,Ongoing,3,5.1,573461,476836,83.150554266114,4.179720367314284,MLI
2005,34126624.0,Completed,IVM + ALB,Ongoing,10,8.7,1161629,928339,79.91699587389778,2.7202778686810625,TZA
2005,80000000.0,In progress,IVM + ALB,Ongoing,30,No data,5300000,3400000,64.15094339622641,4.25,NGA
2005,4799900.0,Completed,IVM + ALB,Ongoing,33,66,2010883,1516490,75.414133989894,31.594199879164147,BEN
2006,80000000.0,In progress,IVM + ALB,Ongoing,30,No data,4498594,3344896,74.35425379574151,4.18112,NGA
2006,1118424.0,Completed,IVM + ALB,Ongoing,7,100,1118424,954216,85.31791163279759,85.31791163279759,TGO
2006,10510647.0,Completed,IVM + ALB,Ongoing,61,100,8511783,6032545,70.87287117164523,57.39461138786223,GHA
2006,12429409.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,UGA
2006,15821728.0,Completed,DEC + ALB,Ongoing,13,13.3,2759574,2130005,77.18600769539067,13.462530767814995,MDG
2006,4799900.0,Completed,IVM + ALB,Ongoing,28,56.00000000000001,1864118,1461523,78.40292299092654,30.449030188128916,BEN
2006,38531568.0,Completed,IVM + ALB,Ongoing,38,33,8428637,6067789,71.99015689013538,15.74757871260261,TZA
2006,13938935.0,Completed,IVM + ALB,Ongoing,55,100,13938935,11127329,79.82911893914421,79.82911893914421,BFA
2006,12299691.0,Completed,IVM + ALB,Ongoing,15,25.4,2960426,2316180,78.23806438667948,18.83120478392506,MLI
2006,572171.0,Completed,DEC + ALB,Ongoing,1,33.300000000000004,37826,29248,77.32247660339449,5.111758547706892,COM
2006,2987266.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2007,4799900.0,Completed,IVM + ALB,Ongoing,28,56.00000000000001,1836321,1485608,80.90132389707463,30.950811475239064,BEN
2007,37369939.0,Completed,IVM + ALB,Ongoing,30,26.1,9328646,6393215,68.53315047006822,17.10790857860378,TZA
2007,12990930.0,Completed,IVM + ALB,Ongoing,24,40.699999999999996,5627709,4527977,80.45862001748847,34.854910310501246,MLI
2007,4248592.0,In progress,IVM + ALB,Ongoing,7,23.3,600404,472405,78.68118800007994,11.119095455623887,SEN
2007,15821728.0,Completed,DEC + ALB,Ongoing,17,17.299999999999997,3654173,2906529,79.53999441186829,18.370490252392152,MDG
2007,3031878.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2007,514110.0,Completed,DEC + ALB,Ongoing,2,66.60000000000001,476284,345973,72.64006349153026,67.29552041391919,COM
2007,1173631.0,Completed,IVM + ALB,Ongoing,7,100,1129341,966532,85.58371652140497,82.35399371693488,TGO
2007,10555253.0,Completed,IVM + ALB,Ongoing,9,34.599999999999994,3079217,2223903,72.2230034453564,21.06915864546307,NER
2007,4967802.0,Completed,IVM + ALB,Ongoing,6,42.9,1919582,1177214,61.32658047429076,23.69687841826224,SLE
2007,14333866.0,Completed,IVM + ALB,Ongoing,55,100,14333866,11613507,81.02145645843208,81.02145645843208,BFA
2007,12839562.0,Completed,IVM + ALB,Ongoing,25,80.60000000000001,6892302,4923440,71.43389828246065,38.345856346190004,UGA
2007,10510647.0,Completed,IVM + ALB,Ongoing,61,100,9278935,5932174,63.931625773863054,56.43966541736203,GHA
2007,80000000.0,In progress,IVM + ALB,Ongoing,30,No data,4566074,3414800,74.78634818445781,4.2685,NGA
2008,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2008,1205317.0,Completed,IVM + ALB,Ongoing,7,100,1098333,936848,85.29726412663554,77.72627449874182,TGO
2008,40420017.0,Completed,IVM + ALB,Ongoing,20,17.391304347826086,4386488,3140683,71.5990332129029,7.770117959129013,TZA
2008,13264445.0,Completed,IVM + ALB,Ongoing,34,80.95238095238095,10330061,6450542,62.444374723440646,48.630319625133204,UGA
2008,63306769.0,In progress,IVM + ALB,Ongoing,36,No data,5295703,3884644,73.35464243368634,6.136222178705724,NGA
2008,5319758.0,Completed,IVM + ALB,Ongoing,13,92.85714285714286,4536613,3179107,70.07666292011243,59.760368798731065,SLE
2008,12887248.0,Completed,IVM + ALB,Ongoing,9,33.33333333333333,3358816,2704323,80.51417523317741,20.98448792170369,MWI
2008,15411849.0,Completed,IVM + ALB,Ongoing,63,100,14724723,12041890,81.78007830775492,78.1339734122752,BFA
2008,13332921.0,Completed,IVM + ALB,Ongoing,30,50.847457627118644,8221268,5066874,61.631295804978016,38.002730234432505,MLI
2008,3031878.0,Completed,DEC + ALB,Ongoing,3,42.857142857142854,1742549,1092068,62.67071973298886,36.01952321300527,KEN
2008,5314600.0,Completed,IVM + ALB,Ongoing,7,21.21212121212121,594346,447593,75.30849034064333,8.421950852368946,SEN
2008,5282204.0,Completed,IVM + ALB,Ongoing,16,32,1075801,904775,84.10245017433522,17.128740200113437,BEN
2008,10355501.0,Completed,IVM + ALB,Ongoing,18,64.28571428571429,6554967,3849412,58.72511638883918,37.17262931074025,NER
2008,11378229.0,Completed,IVM + ALB,Ongoing,61,100,10232775,7228639,70.64202037081829,63.5304404578252,GHA
2008,14305000.0,In progress,IVM + ALB,Ongoing,15,No data,1507545,1165251,77.29460812115062,8.145760223698009,CMR
2008,17389792.0,Completed,DEC + ALB,Ongoing,30,30.612244897959183,6487033,4891862,75.40985223907447,28.130652741562407,MDG
2009,,Completed,,Not required MDA,,,,,,,MUS
2009,,Completed,,Not required MDA,,,,,,,RWA
2009,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2009,11465194.0,Completed,IVM + ALB,Ongoing,22,78.60000000000001,8993334,6523176,72.53345644674155,56.895469889127035,NER
2009,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2009,13798000.0,Completed,IVM + ALB,Ongoing,59,100,11436622,9730857,85.08506270470424,70.52367734454269,MLI
2009,70650902.0,In progress,IVM + ALB,Ongoing,50,No data,8293770,4754864,57.33055052165662,6.730082511897725,NGA
2009,12887248.0,Completed,IVM + ALB,Ongoing,26,100,13053083,10805518,82.78134751767074,83.84659005553397,MWI
2009,2600000.0,Completed,Not started,Not started,,,,,,,COG
2009,15538610.0,Completed,IVM + ALB,Ongoing,18,16.8,2240497,1607688,71.75586488176508,10.346408076398083,MOZ
2009,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2009,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2009,13264445.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,UGA
2009,5314600.0,Completed,IVM + ALB,Ongoing,7,21.21212121212121,617065,412461,66.84239099608631,7.760903925036692,SEN
2009,49140000.0,In progress,Not started,Not started,,,,,,,COD
2009,3600000.0,In progress,IVM + ALB,Not started,,,,,,,LBR
2009,3031878.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2009,,Completed,,Not required MDA,,,,,,,SYC
2009,1311741.0,Completed,IVM + ALB,Not started,,,,,,,GNB
2009,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2009,1191720.0,Completed,IVM + ALB,Ongoing,2,100,399230,329660,82.57395486311148,27.66253818010942,TGO
2009,5319758.0,Completed,IVM + ALB,Ongoing,12,85.7,4694711,3476726,74.05623051131369,65.35496539504241,SLE
2009,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2009,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2009,11587953.0,Completed,IVM + ALB,Ongoing,74,100,9627213,7204038,74.82994299596363,62.16833982671487,GHA
2009,17948748.0,Completed,DEC + ALB,Ongoing,30,30.612244897959183,6760952,5046639,74.64391109417727,28.116941638491998,MDG
2009,14000000.0,In progress,IVM + ALB,Ongoing,3,No data,1159593,914720,78.88284941354424,6.533714285714286,CIV
2009,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2009,30000000.0,In progress,IVM + ALB,Ongoing,5,No data,99037,77442,78.19501802356696,0.25814000000000004,ETH
2009,37369939.0,Completed,IVM + ALB,Ongoing,23,20,6002837,4396112,73.23390590149292,11.763765522871203,TZA
2009,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2009,,Completed,,Not required MDA,,,,,,,CPV
2009,14305000.0,In progress,IVM + ALB,Ongoing,9,No data,825783,616160,74.61524395634204,4.307305138063614,CMR
2009,15411849.0,Completed,IVM + ALB,Ongoing,63,100,15411849,12326907,79.98331024395581,79.98331024395581,BFA
2009,7270000.0,Not started,IVM + ALB,Not started,,,,,,,TCD
2009,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2009,,Completed,,Not required MDA,,,,,,,BDI
2009,5282204.0,Completed,IVM + ALB,Ongoing,16,32,1068220,908775,85.0737675759675,17.204466166017063,BEN
2009,3300000.0,In progress,IVM + ALB,Not started,,,,,,,CAF
2010,30000000.0,In progress,IVM + ALB,Ongoing,5,No data,101013,73435,72.69856355122609,0.24478333333333335,ETH
2010,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2010,16819434.0,In progress,IVM + ALB,Ongoing,43,No data,5264142,3676469,69.83985234440864,21.858458495095615,CMR
2010,3300000.0,In progress,IVM + ALB,Ongoing,2,11.76470588235294,405311,193919,47.84449472133744,5.876333333333333,CAF
2010,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2010,,,,Surveillance,,,,,,,TGO
2010,,,,Classified as non-endemic,,,,,,,CPV
2010,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2010,,,,Classified as non-endemic,,,,,,,BDI
2010,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2010,11925399.0,Completed,IVM + ALB,Ongoing,69,93.2,9966010,7491873,75.17424726645869,62.82282882107341,GHA
2010,49140000.0,In progress,Not started,Not started,,,,,,,COD
2010,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2010,6127337.0,Completed,IVM + ALB,Ongoing,14,100,6127337,4760021,77.68498778506878,77.68498778506878,SLE
2010,1311741.0,Completed,IVM + ALB,Not started,,,,,,,GNB
2010,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2010,88966825.0,In progress,IVM + ALB,Ongoing,103,No data,21432345,10489790,48.94373434171575,11.790675906440406,NGA
2010,11465194.0,Completed,IVM + ALB,Ongoing,29,100,10727330,7802679,72.73644979692058,68.05535955170056,NER
2010,17118460.0,Completed,IVM + ALB,Ongoing,37,35.9,5029795,3739881,74.35454128846204,21.84706451398081,MOZ
2010,,,,Classified as non-endemic,,,,,,,MUS
2010,,,,Classified as non-endemic,,,,,,,RWA
2010,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2010,15039794.0,Completed,IVM + ALB,Ongoing,59,100,11848053,10046835,84.79735024818001,66.80167959747321,MLI
2010,5282204.0,Completed,IVM + ALB,Ongoing,16,32,1105375,946317,85.61049417618455,17.91519221900555,BEN
2010,13065294.0,Completed,IVM + ALB,Ongoing,27,100,13065294,10797082,82.63941094628258,82.63941094628258,MWI
2010,18602379.0,Completed,DEC + ALB,Ongoing,49,49,10355365,6868762,66.33046734711911,36.92410524481842,MDG
2010,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2010,5314600.0,Completed,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,SEN
2010,3600000.0,In progress,IVM + ALB,Not started,,,,,,,LBR
2010,15411849.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,BFA
2010,3031878.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2010,,,,Classified as non-endemic,,,,,,,SYC
2010,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2010,14704200.0,Completed,IVM + ALB,Ongoing,38,98.7,12679778,9183256,72.42442257269805,62.45328545585615,UGA
2010,37369939.0,Completed,IVM + ALB,Ongoing,22,19.1,6094422,4465654,73.27444669896505,11.949856273514389,TZA
2010,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2010,7270000.0,Not started,IVM + ALB,Not started,,,,,,,TCD
2010,2600000.0,Completed,Not started,Not started,,,,,,,COG
2010,14000000.0,In progress,IVM + ALB,Ongoing,13,No data,7808346,2458436,31.484721604293664,17.560257142857143,CIV
2011,12150323.0,Completed,IVM + ALB,Ongoing,70,94.6,10518427,7761897,73.79332480037176,63.88222765765157,GHA
2011,1582496.0,Completed,IVM + ALB,Ongoing,33,28.4,357933,264712,73.95574032011577,16.727498837279843,GNB
2011,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2011,16166882.0,Completed,IVM + ALB,Ongoing,60,100,14940147,11926872,79.83102174295875,73.77348334700532,MLI
2011,,,,Surveillance,,,,,,,TGO
2011,5812099.0,Completed,IVM + ALB,Ongoing,14,28.000000000000004,630963,531313,84.20668089887997,9.141499482372891,BEN
2011,16673025.0,In progress,IVM + ALB,Ongoing,125,No data,10184974,7943616,77.99348334124367,47.643519997121096,CMR
2011,3300000.0,In progress,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,CAF
2011,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2011,7270000.0,Not started,IVM + ALB,Not started,,,,,,,TCD
2011,14104061.0,Completed,IVM + ALB,Ongoing,26,100,14104061,11258343,79.82341397984595,79.82341397984595,MWI
2011,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2011,2600000.0,Completed,Not started,Not started,,,,,,,COG
2011,30000000.0,In progress,IVM + ALB,Ongoing,5,No data,103896,84929,81.74424424424424,0.28309666666666666,ETH
2011,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2011,16570898.0,Completed,IVM + ALB,Ongoing,63,100,15774982,12825582,81.30330671692684,77.39823152613697,BFA
2011,18602379.0,Completed,DEC + ALB,No data,No data,No data,No data,No data,No data,No data,MDG
2011,3421741.0,Completed,DEC + ALB,Ongoing,9,75,2162217,1259903,58.26903590157695,36.82052499005623,KEN
2011,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2011,5314600.0,Completed,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,SEN
2011,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2011,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2011,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2011,3600000.0,In progress,IVM + ALB,Not started,,,,,,,LBR
2011,14203400.0,Completed,IVM + ALB,Ongoing,53,98.14814814814815,13744409,8766071,63.77917740951975,61.71811678893786,UGA
2011,17114949.0,Completed,IVM + ALB,Ongoing,65,63.10679611650486,10449220,8496428,81.31160029169642,49.643314741983744,MOZ
2011,106124877.0,In progress,IVM + ALB,Ongoing,185,No data,34438513,19887248,57.74711585253405,18.73947802078489,NGA
2011,14000000.0,In progress,No MDA,No MDA,0,0,0,0,0,0,CIV
2011,11605401.0,Completed,IVM + ALB,Ongoing,30,100,11605400,7394521,63.71620969548658,63.716204205266145,NER
2011,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2011,49140000.0,In progress,Not started,Not started,,,,,,,COD
2011,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2011,43956328.0,Completed,IVM + ALB,Ongoing,69,52.27272727272727,14320470,10912153,76.19968478688199,24.824987655929768,TZA
2011,6312745.0,Completed,IVM + ALB,Ongoing,14,100,6312745,5074218,80.3805317654998,80.3805317654998,SLE
2012,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2012,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2012,16779208.0,Completed,IVM + ALB,Ongoing,57,90.5,15348722,12437078,81.03005579226726,74.12196094118387,BFA
2012,14807685.0,Completed,IVM + ALB,Ongoing,26,100,14807685,11877822,80.21390244322458,80.21390244322458,MWI
